StationId,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,AQI_Bucket
DL020,2018-11-20,292.9,531.9,78.5,77.3,94.88,1.99,21.1,20.52,435.0,Severe
DL002,2016-01-13,310.3,518.02,63.54,82.85,99.19,1.72,17.22,14.86,444.0,Severe
DL008,2018-11-10,325.62,562.27,50.96,112.8,24.65,2.71,17.12,56.51,484.0,Severe
DL002,2015-12-25,184.44,517.7,152.77,106.05,81.66,2.2,23.38,16.83,565.0,Severe
DL002,2015-06-16,185.08,566.69,140.34,109.73,81.57,1.5,9.32,38.17,565.0,Severe
DL010,2019-10-15,146.53,497.94,73.79,62.39,33.98,2.9,15.26,30.78,467.0,Severe
DL032,2018-04-25,141.67,468.67,36.3,121.45,35.7,2.39,8.44,49.26,419.0,Severe
DL031,2019-02-13,226.66,383.03,140.65,81.28,26.63,1.44,17.84,64.11,450.0,Severe
DL002,2017-04-19,182.78,671.78,140.02,103.67,57.57,3.05,35.98,45.62,663.0,Severe
DL003,2019-11-14,424.35,594.81,70.07,103.82,63.33,2.55,19.45,48.49,575.0,Severe
DL032,2019-12-28,279.49,416.31,39.22,20.11,73.73,1.58,3.36,19.74,432.0,Severe
DL002,2015-10-22,119.41,534.15,70.44,89.55,24.9,1.78,46.06,38.25,533.0,Severe
DL002,2017-02-21,110.44,413.98,115.3,109.3,112.76,2.4,25.33,10.83,452.0,Severe
BR006,2020-03-09,155.41,696.52,5.61,18.9,15.43,0.67,8.44,2.31,634.0,Severe
DL031,2016-11-08,311.55,554.96,64.58,95.56,68.77,2.75,35.02,50.71,578.0,Severe
DL009,2019-11-02,316.65,445.06,21.64,69.14,20.57,2.3,13.73,4.23,469.0,Severe
DL024,2018-12-18,302.25,403.23,53.27,86.87,59.72,2.53,29.26,28.75,447.0,Severe
DL010,2018-11-12,241.03,523.52,90.68,58.83,57.8,3.15,29.34,38.6,478.0,Severe
DL019,2015-12-09,265.06,378.54,133.58,98.88,31.62,2.87,16.35,34.1,416.0,Severe
DL002,2016-12-17,275.25,580.99,374.71,137.16,112.42,3.84,22.68,11.12,631.0,Severe
DL008,2018-12-11,330.28,574.92,32.21,39.08,25.26,3.71,15.48,59.62,545.0,Severe
DL003,2019-01-04,281.16,399.98,37.67,55.41,40.07,2.34,14.69,12.29,456.0,Severe
DL002,2017-10-31,373.56,548.5,49.96,121.75,107.51,3.18,33.69,53.28,477.0,Severe
DL028,2017-12-29,273.83,273.83,151.45,129.25,71.81,3.13,34.54,423.25,434.0,Severe
DL034,2018-07-02,23.54,575.22,2.99,16.03,23.19,0.34,5.24,39.16,788.0,Severe
