iter	Passed	Remaining
269	20464	17962
270	20510	17861
271	20566	17768
272	20613	17668
273	20661	17570
274	20712	17473
275	20760	17375
276	20808	17277
277	20853	17178
278	20900	17079
279	20956	16989
280	21010	16898
281	21057	16801
282	21113	16711
283	21162	16617
284	21218	16528
285	21267	16434
286	21322	16344
287	21366	16247
288	21414	16153
289	21458	16056
290	21506	15963
291	21556	15872
292	21602	15777
293	21651	15685
294	21697	15593
295	21740	15497
296	21786	15404
297	21833	15313
298	21887	15226
299	21940	15139
300	21990	15049
301	22038	14959
302	22092	14873
303	22147	14788
304	22189	14696
305	22241	14609
306	22289	14520
307	22336	14431
308	22390	14347
309	22438	14259
310	22493	14176
311	22541	14088
312	22593	14003
313	22636	13913
314	22679	13823
315	22730	13739
316	22784	13656
317	22829	13568
318	22876	13481
319	22927	13398
320	22980	13315
321	23029	13231
322	23080	13147
323	23131	13065
324	23183	12982
325	23232	12899
326	23284	12817
327	23334	12734
328	23391	12655
329	23438	12571
330	23482	12486
331	23528	12402
332	23575	12318
333	23629	12239
334	23675	12155
335	23722	12072
336	23770	11991
337	23820	11910
338	23870	11829
339	23922	11750
340	23971	11669
341	24020	11589
342	24072	11509
343	24120	11429
344	24171	11350
345	24223	11271
346	24263	11187
347	24326	11114
348	24367	11031
349	24399	10944
350	24431	10858
351	24463	10772
352	24491	10684
353	24525	10599
354	24555	10514
355	24589	10429
356	24634	10350
357	24665	10265
358	24696	10181
359	24734	10099
360	24771	10018
361	24802	9934
362	24837	9852
363	24879	9774
364	24911	365	2365	24944	366	2366	24978	367	2367	25011	368	24981	9342
369	25025	9266
370	25072	9190
371	25115	9114
372	25148	9034
373	25185	8956
374	25221	8878
375	2375	25326	376	25309	8727
377	25351	8651
378	25399	8578
379	25442	8503
380	25484	8427
381	25526	8352
382	25570	8278
383	25615	8205
384	25662	8132
385	25705	8057
386	25756	7986
387	25795	7911
388	25830	7835
389	25865	7759
390	25915	7688
391	25956	7614
392	26013	7546
393	26060	7474
394	26105	7402
395	26154	7331
396	26207	7261
397	26253	7190
398	26295	7117
399	26328	7042
400	26368	6970
401	26401	6895
402	26439	6823
403	26472	6749
